coment,manifest_atendimento
"atendimento rápido, profissional dedicado",elogio
ótimo atendimento,elogio
A Colaboradora Ana Carolina foi rápida e super eficiênte.,elogio
Rápidos e eficientes. ,elogio
Ainda não recebi a visita do técnico para fazer os reparos.,neutro
Excelente atendimento por parte do sr. Gabriel.,elogio
Há muita demora no atendimento. Nos ramais da HP no Ediven - 704-0534 e 704-0992 dificilmente há alguém para atendimento. Aciona-se a ALED - 704-0578 que só faz abrir o registro. A demora de hoje foi excessiva - 3 horas para liberar uma impressora em pausa !!!     ,reclamação
muito obrigada pelo atendimento e a resolução do problema,elogio
Superou minhas expectativas.,elogio
DEMOREI BASTANTE NO PC E NÃO FOI RESOLVIDO O PROBLEMA,reclamação
Troquei a minha solicitação para o Internet Explorer,neutro
Resolvido de forma rápida e eficaz!,elogio
"Informaram que o item foi retirado do meu DSP em março, mas nunca tice um segundo micro. Solicitei que os valores cobrados incorretamente fossem estornados para nossa gerência, mas nada foi mencionado sobre o assunto na resolução do problema.",reclamação
A base criada deixou a replicação muito lenta.,reclamação
Atendente extremamente solícito.,elogio
excelente atendimento e serviço prestado. equipe nota 10,elogio
Agradeço a todos a colaboração e seu desempenho.,elogio
"Fui informado que o MIcro MI00203081, será excluído do DSP no demosntrativo de abril/2015.",neutro
Atendimento muito bom e resolutivo.,elogio
Presteza e agilidade no atendimento.,elogio
EXCELENTE ATENDIMENTO!,elogio
Atendimento excelente,elogio
Muito bom o atendimento do técnico.,elogio
Otimo resultado prestador muito preparado para responder todas as questões,elogio
Atendimento solucionou o problema e serviu para basear orientação para pessoal do setor. Grato,elogio
Parabéns pela cordialidade no atendimento e nos esclarecimentos acerca da consulta dos registros através do web 881.,elogio
Perfeito!,neutro
Atendente extremamente solícito e ágil.,elogio
A solicitação foi atendida com êxito.,elogio
fera a pessoa,elogio
Atendimento rápido e eficiente.,elogio
Rapidez e Eficiência,elogio
"Conforme informado pela TIC, a sistemática da designação de micros para uma determinada chave é automática a partir de um solftware.  Acredito que esta designação automática deva ter uma análise crítica periódica, para avaliação das informações levantadas pelo sistema.  Esta mesma ferramenta utilizada deveria listar os usuários que tenham em seu registro mais de um Microcomputador Corporativo, e verificar se existe uma frequência de utilização pelo usuário, pois no segundo micro (utilizado no Rio Grande do Sul), alvo da minha dúvida quando a duplicidade, não houve nenhum acesso desde nov/14, e mesmo assim foi considerado como de minha utilização, e cobrado como sendo.",neutro
Excelente atendimento. Técnico prestativo e competente.,elogio
"CADA VEZ QUE UTILIZO O SERVIÇO, FICO MAIS IMPRESSIONADO POSITIVAMENTE, COM A QUALIDADE DO ATENDIMENTO. RAPIDEZ E SIMPATIA DOS PROFISSIONAIS QUE ME ATENDEM. GOSTARIA DE REGISTRAR NOTA 10 AO ATENDIMENTO DO SR LUCAS VIANA.    GRATO!    MICHEL   AQ6S",elogio
Agradeço pelo ótimo atendimento. César Augusto.,elogio
Agradeço a atenção e competência do Sr. Fernando de Souza Fernandes,elogio
"Excelente atendimento, atendente nota 1.000, gentil, com muita presteza e segurança nas informações. Parabéns Luciane ou Luciana...",elogio
O atendente foi cortês mas não pôde me ajudar. ,reclamação
MUITO BOM ATENDIMENTO. MUITO PRESTATIVA.,elogio
"O procedimento de adequação das bases do Notes é muito demorado, de forma que solicitei que fosse executado apenas para as de maior prioridade para que eu possa continuar trabalhando hoje. Em outro momento farei novo contato para executar nas demais.",neutro
parabéns ao atendente.,elogio
"Agradecer a presteza, educação e efetividade na solução, na opção 5 da atendente, Srª Ana. Atendimento nota 10",elogio
Parabéns! Excelente performance do atendente. Solucionou o  problema com agilidade e presteza.  ,elogio
Excelente!,elogio
O atendimento superou as expectativas.,elogio
"O profissional responsável pelo atendimento foi extremamente habil na resolução do problema, mostrando grande conhecimentop sobre o Lotus Notes.",elogio
O atendimento foi muito bom. O atendente foi eficiente e eficaz. Obrigada!,elogio
O ATENDENTE FOI MUITO CORDIAL E DISPOSTO A TIRAR DÚVIDAS! MUITO SATISFEITA!,elogio
OTIMO ATENDIMENTO.,elogio
"Excelente atendimento, o técnico foi capaz não apenas de resolver o problema relatado como também identificou outra situação adversa no aplicativo, resolvendo outro problema cujo qual não me recordava no momento. Foi eficiente e proativo. Parabéns ao técnico.",elogio
O atendente foi muito eficaz. Problema resolvido com agilidade. ,elogio
"CONTINUO NÃO ACESSANDO SISTAM , POIS O REF.SISTEMA PEDE ATUALIZAÇÃO JAVA 1.6+",neutro
Agradeço pela tempestividade no atendimento. ,elogio
atendimento de qualidade.,elogio
A informação foi passada com objetividade e clareza.,neutro
Excelente!,elogio
"CONTINUO NÃO ACESSANDO SISTAM , SISTEMA PEDE ATUALIZAÇÃO DO JAVA 1.6+",neutro
"Muito bom trabalho, resolveu com eficácia. Aquele abraço!",elogio
prontamente atendido...!!!,elogio
"Mas continua um pouco lento,não como estava anteriormente",neutro
Atendimento muito rápido! Parabéns!,elogio
prontamente atendido...!!!,elogio
prontamente atendido...!!!,elogio
prontamente atendido...!!!,elogio
Paciente e atencioso,elogio
"O atendente mostrou diligêngia e eu agradeço por isso, entretanto a aplicação WEB ""Troca Senha"" não permite que troquemos apenas a senha extranet. Tal fragilidade denuncia minha nota...",reclamação
obrigada pelo apoio,elogio
Não só resolveu como já instruiu como agir caso o problema se repita.,neutro
muito bom atendimento. muito prestativa.,elogio
OTIMO,elogio
"Prezados, Boa Tarde! Serviço executado com excelência.",elogio
Muito paciente e atencioso,elogio
"Quase meia hora de espera ouvindo musiquinha para não receber nenhuma resposta concreta.  Em ligação telefônica posterior, fui informado da necessidade de despacho ao DIP TRANSPETRO/DDT/CL/COM 3/2015 pelo GG da TRANSPETRO/DDT/CL.  Trata-se a rigor da reativação de chave no SAP, onde a burocracia exigida me parece excessiva, em face do tempo em que o acesso se manteve ativo, e a razão da supressão de acesso ao SAP pelo empregado. Depois disso, ainda vem a via crucis do restabelecimento dos perfis de acesso... ",reclamação
Parabéns pelo atendimento.,elogio
"Logo após o atendimento, o erro não repetiu. ",neutro
Funcionário proativo,elogio
excelente trabalho,elogio
-,neutro
ÓTIMO SERVIÇO PRESTADO.,elogio
Obrigada pela eficiencia!,elogio
Obrigada pela agilidade!!,elogio
"excelente trabalho, com muita agilidade por parte da emopresa envolvida.",elogio
Ótimo atendimento.,elogio
O chamado não foi resolvido devido a fatores externos ao Sistema Petrobras,neutro
O chamado foi para acessar uma solicitação de viagem já aprovada para saber do andamento,reclamação
"PARABÉNS PELO ÓTIMO ATENDIMENTO, NOTA 1.000 ... OBRIGADO PELA FORÇA",elogio
Insatisfeito com o não funcionamento do SAP R3.,reclamação
Atendente muito prestativo e atencioso. Excelente atendimento! ,elogio
Excelente e rápido o atendimento. Parabéns,elogio
ótimo atendimento. Parabéns!,elogio
MUITO BOM O ATENDIMENTO,elogio
Resolvido imediatamente!,elogio
"Não foi resolvido, pois, fui informado pela TIC que a manutenção ou substituição dos estabilizadores né função da minha gerência.",neutro
Resolvido com sucesso.,elogio
Atendente muito prestativo e educado,elogio
O ATENDIMENTO SUPEROU MINHAS EXPECTATIVAS,elogio
"Já faz um tempo que o site da caixa apresenta instabilidade, sem que haja solução.",reclamação
Ótimo atendimento. Funcionário super atencioso.,elogio
"Apesar da rapidez na chegada do técnico, foram feitas várias tentativas de correção e ele não sabia a resposta.",reclamação
"Excelente serviço, ",elogio
ótimo serviço,elogio
Falta atualizar meu ramal no localizador de pessoas no portal da Petrobrás e alterar o nome do ramal no babylon,neutro
"Gostaria de registrar o meu agradecimento ao Luíz chave Y7DJ que se prontificou a atender o meu chamado com proatividade e comprometimento. Aliás, parabéns aos técnicos que nos atendem pois são todos nota 10!",elogio
O chamado foi resolvido parcialmente. Foi realizada apenas o aumento de cota do drive W.,reclamação
Excelente atendimento.,elogio
Estou aguardando aproximadamente um mês a conclusão do atendimento. ,reclamação
A resolução do problema foi muito rápida.,elogio
Minha solicitação foi atendida de maneira profissional e muito qualificada. ,elogio
Ótimo atendimento. Claro e objetivo!,elogio
O ramal 751-6523 não está funcionando no grupo de captura,reclamação
"O atendimento foi rápido, eficiente e cordial.",elogio
"Prezados (as) boa tarde ,   Apesar do problema no lotus notes ter voltado , tudo foi resolvido dentro do prazo .   Estão de parabens .",elogio
Excelente atendimento. Parabéns!!!,elogio
Excelente atendimento,elogio
Excelente,elogio
"Parabéns, pelo atendimento eficiente e com competência.",elogio
A funcionária está de parabéns pelo atendimento.  Muito educada e eficiente.,elogio
"Atendente muito atencioso, eficiente e pró-ativo.",elogio
"O atendente foi muito profissional e resolveu o problema sem dificuldades, pessoa muito competente.  Está de Parabéns.",elogio
Acho muito burocrático este sistema de ajuda. ,reclamação
Fui esclarecido sobre a situação.,neutro
Atendimento com qualidade e atenção. Muito obrigado,elogio
A atendente não soube realizar o cadastramento dos tanques do navio de  código: 1B4X. ,reclamação
Obrigado pelo atendimento. Minha nota é 10.,elogio
Ótimo atendimento e agilidade no processo. O funcionário Maicon fez ótimo trabalho.,elogio
Ótima atendente.,elogio
Bom atendimento,elogio
Foi resolvido dentro das limitaçoes e regras do sistema,neutro
Demora no procedimento (Lentidão na rede),reclamação
Demora no procedimento (Lentidão na rede),reclamação
Excelente atendimento.,elogio
"Espero que não haja custo algum com este serviço, uma vez que não houve antedimento propriamente dito.",reclamação
"Tive de suspender o atendimento devido as demandas de parada de produção na plataforma P-19, ficando para uma nova tentativa no próximo atendimento.",neutro
Atendimento com qualidade e presteza.,elogio
"Apesar do Padrão dizer que não será dado apoio a Smartphone pessoal. No caso específico é que consigo acessar através de notebook, e outro usuário consegue acessar através do meu Smartphone, o que sugere problema na minha chave de acesso. ",reclamação
"O Atendente demonstrou total conhecimento, resolvendo rapidamente a falha.",elogio
Ótima atendente,elogio
"O atendente foi muito solícito, e o problema foi solucionado em uma velocidade incrível. Parabéns ao 881 nesse atendimento.",elogio
Bom atendimento,elogio
FUNCIONÁRIO PRESTATIVO E EFICIENTE,elogio
Não resolvel meu problema e conduta de reposição inviavel para quem se encontra embarcado,reclamação
"Muito bem atendido, o problema foi solucionado",elogio
"Muito bem atendido, e solucionado o problema",elogio
"Equivoquei-me ao contatar 881, quando deveria solicitar o serviço através do disc ",neutro
Atendente muito responsavel e segura,elogio
Solicitei faz meses o serviço e só recentemente entraram em contato.,reclamação
Solicitação não resolvida peço reabrir o chamado.,neutro
"Equipamento operacional, atendeu bem as espectativas.",elogio
Houve um atraso considerável na data de entrega. Este atraso não foi comunicado antecipadamente e por isso causou grande insatisfação do cliente final. ,reclamação
"Ainda em testes, porém, em princípio, foi solucionado.",neutro
O atendente foi extremamente solícito e competente,elogio
"A profissional CARLA CRISTINA DURAES foi muito atenciosa e eficiente.  Contudo, o serviço da TIC não atendeu porque o micro voltou a dar defeito 5 minutos depois de devolvido, tendo demorado 3 semanas entre a abertura do chamado e sua conclusão insatisfatória",reclamação
"Demorou muito. Se eu não ligo, estaria sem um retorno da situação.",reclamação
"É necessário acessar via PLSQL que o técnico ficou de vir instalar, pois via EXCEL não consigo fazer minhas pesquisas através de query!",reclamação
"Apesar do problema resolvido, fica dependendo demais de liberações e autorizações, cuja demanda é realizada via telefone fixo, o que também compromete a agilidade, com risco de cancelamento da demanda.",reclamação
Atendimento dentro do prazo e de acordo com o solicitado. Obrigada ! ,neutro
"Atende Raphael foi bastante atenciosa, dando sugestões para melhoria do prcesso. ",elogio
houve demora que impactou na gestão dos RTA. De qq forma estamos muito agradecidos pela solução. Obrigada,neutro
"A equipe atendeu prontamente o chamado, porém o procedimento não sutiu efeito. Acrescenta-se a isso o fato de ter demorado aproximadamente 7 dias para a equipe do 881 entrar em contato para perguntar qual era o número da linha. Só depois disso que o atendimento proseguiu. Ao solititar a reabertura do chamado não havia mais possibilidade, e outro chamado teve que ser aberto.",reclamação
O atendimento local sempre é muito bom. Muito obrigada pela ajuda.,elogio
"As funcionalidades (ligações) não migraram do ramal antigo para o novo, ainda não consigo realizar chamadas externas.  E o Busca Empregados, está sem nenhum dos ramais, o antigo saiu e o novo ainda não entrou no cadastro.",reclamação
Ótimo atendimento,elogio
"Foi resolvido parcialmente, pois a outra bateria durava 20 min e esta dura 50 min. E fui informado que não tem bateria nova, nem notebook novo.",reclamação
Equipe atenciosa e rápida. Parabéns.,elogio
"Embora o tempo de atendimento tenha sido um pouco longo, o problema foi resolvido a contento.",neutro
"O apoio local mostrou-se muito pró-ativo no atendimento, superando minhas expectativas.",elogio
Boa prestatividade e pró-atividade da equipe de atendimento.,elogio
"Os PDFs foram gerados, mas alguns ficaram com formato errado. Além disso, a ferramenta de visualização apresenta falhas.",reclamação
Não foi realizado o solicitado. Ocorreu um erro na solicitação e faltou proatividade por parte da TIC para solucionar. O registro INC000023227182 explica o ocorrido.,reclamação
trabalho muito bom,elogio
OTIMO ATENDIMENTO .,elogio
SERVIÇO REALIZADO COM SUCESSO,elogio
"Já estava alguns anos tendo problemas com o micro, o que dificultava muito o meu trabalho. Extremamente lento, com conflitos e precisando reiniciar o tempo todo. Em média levava de 20 a 30 minutos para ligar e/ou reiniciar. Análise do técnico foi satisfatória ao condenar a máquina e trocar imediatamente por outra.",neutro
"obrigado. o técnico do apoio local , Osvaldo conseguiu resolver muito bem o problema.",elogio
ÓTIMO ATENDIMENTO,elogio
O problema do telefone persiste. Não recebo algumas ligações.,reclamação
